张飞,刘备,68.11610412597656
周瑜,曹操,81.432861328125
司马懿,诸葛亮,84.8980712890625
张飞,曹操,147.1591796875
刘备,曹操,152.11923217773438
关羽,曹操,172.51063537597656
关羽,刘备,255.2423095703125
周瑜,刘备,282.6095275878906
曹操,刘备,296.5625915527344
刘备,张飞,364.4641418457031
吕布,曹操,375.0074157714844
刘备,关羽,467.9377746582031
周瑜,孙权,475.27032470703125
孙权,曹操,493.4291076660156
吕布,刘备,534.30908203125
赵云,曹操,612.7350463867188
张飞,关羽,648.21533203125
关羽,赵云,658.1572265625
吕布,关羽,659.157470703125
周瑜,赵云,688.0706787109375
周瑜,关羽,718.3604125976562
孙权,刘备,718.7798461914062
周瑜,张飞,742.7509155273438
吕布,张飞,782.3060913085938
关羽,张飞,788.5011596679688
张飞,赵云,789.664794921875
刘备,赵云,820.5316162109375
曹操,张飞,863.4215698242188
曹操,关羽,868.35693359375
周瑜,诸葛亮,888.67138671875
孙权,关羽,890.9608154296875
诸葛亮,孙权,955.7655639648438
孙权,赵云,956.6995849609375
赵云,关羽,984.899169921875
孙权,诸葛亮,1060.682861328125
曹操,赵云,1110.42822265625
司马懿,孙权,1229.2091064453125
诸葛亮,赵云,1263.76611328125
诸葛亮,曹操,1284.53369140625
赵云,孙权,1329.2957763671875
孙权,张飞,1356.5447998046875
赵云,张飞,1640.128173828125
赵云,诸葛亮,1642.0478515625
刘备,孙权,1666.922607421875
周瑜,吕布,1732.015869140625
关羽,孙权,1768.4078369140625
张飞,孙权,1839.6741943359375
诸葛亮,关羽,1844.5782470703125
赵云,刘备,1866.2581787109375
曹操,孙权,1981.3165283203125
吕布,赵云,2147.875244140625
刘备,吕布,2335.708251953125
诸葛亮,张飞,2454.7236328125
吕布,孙权,2551.962890625
司马懿,曹操,2582.0439453125
曹操,吕布,2758.85546875
关羽,周瑜,2924.729248046875
诸葛亮,司马懿,3060.5263671875
诸葛亮,刘备,3302.081787109375
司马懿,赵云,3588.04052734375
赵云,吕布,3636.7470703125
诸葛亮,吕布,3638.649658203125
张飞,吕布,3761.440185546875
刘备,周瑜,3784.4560546875
司马懿,关羽,3905.8505859375
曹操,周瑜,3996.75927734375
司马懿,吕布,4212.3447265625
司马懿,张飞,4534.208984375
孙权,司马懿,4732.96826171875
吕布,周瑜,4988.7861328125
孙权,周瑜,5017.0390625
张飞,周瑜,5018.53173828125
司马懿,刘备,5550.88037109375
赵云,司马懿,5894.8154296875
关羽,吕布,5934.67724609375
孙权,吕布,5954.09130859375
赵云,周瑜,6385.5810546875
关羽,诸葛亮,6635.55322265625
刘备,诸葛亮,7692.69287109375
张飞,诸葛亮,7728.00390625
曹操,诸葛亮,8911.10546875
周瑜,司马懿,9620.4453125
关羽,司马懿,9929.2763671875
诸葛亮,周瑜,11446.2578125
张飞,司马懿,11453.7880859375
刘备,司马懿,12232.5068359375
曹操,司马懿,12868.3974609375
吕布,诸葛亮,23710.953125
司马懿,周瑜,24488.412109375
吕布,司马懿,26959.880859375
